estrato;DS_CARGO;perfil_cluster;candidatos_cluster_cargo;eleitos_cluster_cargo;taxa_cluster_cargo;candidatos_estrato_cargo;eleitos_estrato_cargo;taxa_estrato_cargo;indice_vs_estrato_cargo;delta_pp_vs_estrato_cargo;participacao_candidatos_estrato_cargo;participacao_eleitos_estrato_cargo;patrimonio_mediano_cluster_cargo
03_medio_alto;DEPUTADO ESTADUAL;Patrimônio médio-alto - rural/agropecuário + imobiliário;239;32;0.13389121338912133;2244;254;0.11319073083778966;1.1828814285243632;2.070048255133167;0.10650623885918004;0.12598425196850394;511000.0
01_baixo;DEPUTADO ESTADUAL;Baixo patrimônio - dinheiro em espécie concentrado;222;6;0.02702702702702703;3142;72;0.022915340547422024;1.1794294294294294;0.41116864796050046;0.07065563335455124;0.08333333333333333;10000.0
04_alto;DEPUTADO FEDERAL;Alto patrimônio - imobiliário + societário com societário e financeiro;455;81;0.17802197802197803;1811;282;0.15571507454445058;1.143254617722703;2.230690347752745;0.25124240750966315;0.2872340425531915;1627500.0
04_alto;DEPUTADO ESTADUAL;Alto patrimônio - imobiliário + financeiro;332;91;0.2740963855421687;2114;511;0.24172185430463577;1.1339329922429444;3.2374531237532924;0.15704824976348156;0.1780821917808219;1184814.1099999999
04_alto;DEPUTADO DISTRITAL;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;28;3;0.10714285714285714;95;9;0.09473684210526316;1.130952380952381;1.2406015037593976;0.29473684210526313;0.3333333333333333;1003000.0
03_medio_alto;DEPUTADO FEDERAL;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;239;19;0.0794979079497908;1522;110;0.07227332457293036;1.099961962723469;0.7224583376860438;0.15703022339027595;0.17272727272727273;472376.83
01_baixo;DEPUTADO FEDERAL;Baixo patrimônio - imobiliário + veicular;94;2;0.02127659574468085;1935;39;0.020155038759689922;1.055646481178396;0.11215569849909283;0.04857881136950904;0.05128205128205128;71865.555
02_medio_baixo;DEPUTADO ESTADUAL;Patrimônio médio-baixo - imobiliário + veicular;282;14;0.04964539007092199;2497;119;0.04765718862635162;1.041718815185649;0.19882014445703686;0.11293552262715258;0.11764705882352941;207250.41499999998
02_medio_baixo;DEPUTADO ESTADUAL;Patrimônio médio-baixo - veicular concentrado;225;11;0.04888888888888889;2497;119;0.04765718862635162;1.0258450046685341;0.1231700262537272;0.09010812975570685;0.09243697478991597;148507.0
04_alto;DEPUTADO ESTADUAL;Alto patrimônio - imobiliário + societário com societário e financeiro;487;116;0.23819301848049282;2114;511;0.24172185430463577;0.9854012545357373;-0.3528835824142956;0.2303689687795648;0.22700587084148727;1426948.0
