SG_UF;perfil_cluster;candidatos_cluster_uf;eleitos_cluster_uf;taxa_cluster_uf;candidatos_uf;eleitos_uf;taxa_uf;indice_vs_uf;delta_pp_vs_uf;participacao_candidatos_uf;participacao_eleitos_uf;patrimonio_mediano_cluster_uf
AP;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;35;3;0.08571428571428572;267;28;0.10486891385767791;0.8173469387755101;-1.9154628143392194;0.13108614232209737;0.10714285714285714;40000.0
SP;Baixo patrimônio - financeiro concentrado;140;7;0.05;2528;160;0.06329113924050633;0.79;-1.329113924050633;0.055379746835443035;0.04375;5000.0
SP;Patrimônio médio-baixo - veicular + financeiro;63;3;0.047619047619047616;2528;160;0.06329113924050633;0.7523809523809523;-1.5672091621458717;0.024920886075949368;0.01875;152389.0
PR;Patrimônio médio-baixo - imobiliário + veicular;36;2;0.05555555555555555;1154;86;0.07452339688041594;0.7454780361757106;-1.8967841324860388;0.03119584055459272;0.023255813953488372;203190.275
RS;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;46;3;0.06521739130434782;975;90;0.09230769230769231;0.7065217391304347;-2.709030100334449;0.04717948717948718;0.03333333333333333;488404.53
RJ;Baixo patrimônio - imobiliário concentrado;53;3;0.05660377358490566;1432;116;0.08100558659217877;0.6987638256343527;-2.4401813007273105;0.037011173184357544;0.02586206896551724;52319.11
MG;Patrimônio médio-baixo - veicular + financeiro;36;2;0.05555555555555555;1668;133;0.07973621103117506;0.6967418546365914;-2.4180655475619512;0.02158273381294964;0.015037593984962405;174678.215
DF;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;26;1;0.038461538461538464;606;34;0.056105610561056105;0.6855203619909502;-1.764407209951764;0.0429042904290429;0.029411764705882353;480591.85
MG;Patrimônio médio-alto - imobiliário + veicular com veicular e societário;37;2;0.05405405405405406;1668;133;0.07973621103117506;0.6779109937004674;-2.568215697712101;0.022182254196642687;0.015037593984962405;478115.64
TO;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;34;2;0.058823529411764705;411;36;0.08759124087591241;0.6715686274509803;-2.8767711464147707;0.0827250608272506;0.05555555555555555;455000.0
DF;Alto patrimônio - imobiliário + societário com societário e financeiro;28;1;0.03571428571428571;606;34;0.056105610561056105;0.6365546218487395;-2.0391324846770393;0.0462046204620462;0.029411764705882353;1935729.75
RJ;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;59;3;0.05084745762711865;1432;116;0.08100558659217877;0.6277030976037405;-3.015812896506012;0.04120111731843575;0.02586206896551724;475031.4
SP;Baixo patrimônio - dinheiro em espécie concentrado;26;1;0.038461538461538464;2528;160;0.06329113924050633;0.6076923076923076;-2.482960077896787;0.010284810126582278;0.00625;39250.0
CE;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;43;3;0.06976744186046512;611;71;0.11620294599018004;0.6003930560104814;-4.643550412971492;0.07037643207855974;0.04225352112676056;398586.37
BA;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;33;2;0.06060606060606061;999;102;0.1021021021021021;0.5935828877005348;-4.14960414960415;0.03303303303303303;0.0196078431372549;1065948.0
