perfil_cluster;SG_UF;candidatos_cluster_uf;candidatos_cluster_total;candidatos_uf;perc_cluster_na_uf;perc_uf_no_cluster
Patrimônio médio-baixo - imobiliário + veicular;TO;8;443;411;0.01805869074492099;0.019464720194647202
Patrimônio médio-baixo - imobiliário + veicular;DF;7;443;606;0.01580135440180587;0.01155115511551155
Patrimônio médio-baixo - imobiliário + veicular;MT;6;443;380;0.013544018058690745;0.015789473684210527
Patrimônio médio-baixo - imobiliário + veicular;RR;5;443;343;0.011286681715575621;0.014577259475218658
Patrimônio médio-baixo - imobiliário + veicular;MA;4;443;575;0.009029345372460496;0.006956521739130435
Patrimônio médio-baixo - imobiliário + veicular;AL;3;443;239;0.006772009029345372;0.012552301255230125
Patrimônio médio-baixo - imobiliário + veicular;AM;3;443;398;0.006772009029345372;0.007537688442211055
Patrimônio médio-baixo - imobiliário + veicular;PB;3;443;413;0.006772009029345372;0.007263922518159807
Patrimônio médio-baixo - imobiliário + veicular;AC;1;443;281;0.002257336343115124;0.0035587188612099642
Patrimônio médio-baixo - imobiliário + veicular;AP;1;443;267;0.002257336343115124;0.003745318352059925
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;SP;62;288;2528;0.2152777777777778;0.0245253164556962
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;RJ;27;288;1432;0.09375;0.018854748603351956
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;RS;25;288;975;0.08680555555555555;0.02564102564102564
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;PR;20;288;1154;0.06944444444444445;0.01733102253032929
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;MG;18;288;1668;0.0625;0.01079136690647482
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;SC;16;288;752;0.05555555555555555;0.02127659574468085
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;BA;12;288;999;0.041666666666666664;0.012012012012012012
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;GO;12;288;766;0.041666666666666664;0.015665796344647518
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;CE;9;288;611;0.03125;0.014729950900163666
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;PE;9;288;572;0.03125;0.015734265734265736
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;RN;8;288;356;0.027777777777777776;0.02247191011235955
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;AL;7;288;239;0.024305555555555556;0.029288702928870293
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;ES;7;288;481;0.024305555555555556;0.014553014553014554
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;MS;7;288;394;0.024305555555555556;0.017766497461928935
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;TO;7;288;411;0.024305555555555556;0.0170316301703163
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;MA;6;288;575;0.020833333333333332;0.010434782608695653
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;SE;6;288;322;0.020833333333333332;0.018633540372670808
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;AM;5;288;398;0.017361111111111112;0.01256281407035176
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;MT;5;288;380;0.017361111111111112;0.013157894736842105
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;DF;4;288;606;0.013888888888888888;0.006600660066006601
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;PA;4;288;556;0.013888888888888888;0.007194244604316547
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;RO;4;288;454;0.013888888888888888;0.00881057268722467
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;AC;3;288;281;0.010416666666666666;0.010676156583629894
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;PB;2;288;413;0.006944444444444444;0.004842615012106538
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;AP;1;288;267;0.003472222222222222;0.003745318352059925
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;PI;1;288;262;0.003472222222222222;0.003816793893129771
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;RR;1;288;343;0.003472222222222222;0.0029154518950437317
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;SP;111;1033;2528;0.1074540174249758;0.043908227848101264
