variavel;estrato;perfil_cluster;categoria;eleitos_cluster_categoria;eleitos_cluster;perc_eleitos_cluster
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;PUBLICITÁRIO;1;141;0.0070921985815602835
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;SENADOR, DEPUTADO E VEREADOR;1;141;0.0070921985815602835
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;SERVIDOR PÚBLICO ESTADUAL;1;141;0.0070921985815602835
DS_OCUPACAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;SERVIDOR PÚBLICO FEDERAL;1;141;0.0070921985815602835
DS_OCUPACAO;01_baixo;Baixo patrimônio - financeiro concentrado;DEPUTADO;17;42;0.40476190476190477
DS_OCUPACAO;01_baixo;Baixo patrimônio - financeiro concentrado;VEREADOR;8;42;0.19047619047619047
DS_OCUPACAO;01_baixo;Baixo patrimônio - financeiro concentrado;ADVOGADO;5;42;0.11904761904761904
DS_OCUPACAO;01_baixo;Baixo patrimônio - financeiro concentrado;OUTROS;5;42;0.11904761904761904
DS_OCUPACAO;01_baixo;Baixo patrimônio - financeiro concentrado;PROFESSOR DE ENSINO MÉDIO;2;42;0.047619047619047616
DS_OCUPACAO;01_baixo;Baixo patrimônio - financeiro concentrado;EMPRESÁRIO;1;42;0.023809523809523808
DS_OCUPACAO;01_baixo;Baixo patrimônio - financeiro concentrado;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;1;42;0.023809523809523808
DS_OCUPACAO;01_baixo;Baixo patrimônio - financeiro concentrado;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;1;42;0.023809523809523808
DS_OCUPACAO;01_baixo;Baixo patrimônio - financeiro concentrado;SERVIDOR PÚBLICO ESTADUAL;1;42;0.023809523809523808
DS_OCUPACAO;01_baixo;Baixo patrimônio - financeiro concentrado;SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS;1;42;0.023809523809523808
DS_OCUPACAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;VEREADOR;4;15;0.26666666666666666
DS_OCUPACAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;ADMINISTRADOR;2;15;0.13333333333333333
DS_OCUPACAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;DEPUTADO;2;15;0.13333333333333333
DS_OCUPACAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;AGRICULTOR;1;15;0.06666666666666667
DS_OCUPACAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;ASSISTENTE SOCIAL;1;15;0.06666666666666667
DS_OCUPACAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;1;15;0.06666666666666667
DS_OCUPACAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;JORNALISTA E REDATOR;1;15;0.06666666666666667
DS_OCUPACAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;PEDAGOGO;1;15;0.06666666666666667
DS_OCUPACAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;PROFESSOR DE ENSINO SUPERIOR;1;15;0.06666666666666667
DS_OCUPACAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;SENADOR;1;15;0.06666666666666667
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;DEPUTADO;33;77;0.42857142857142855
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;EMPRESÁRIO;8;77;0.1038961038961039
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;ADVOGADO;7;77;0.09090909090909091
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;JORNALISTA E REDATOR;3;77;0.03896103896103896
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;OUTROS;3;77;0.03896103896103896
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;VEREADOR;3;77;0.03896103896103896
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;APOSENTADO (EXCETO SERVIDOR PÚBLICO);2;77;0.025974025974025976
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;MÉDICO;2;77;0.025974025974025976
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;PROFESSOR DE ENSINO SUPERIOR;2;77;0.025974025974025976
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;ADMINISTRADOR;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;AGRÔNOMO;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;BANCÁRIO E ECONOMIÁRIO;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;ENGENHEIRO;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;GOVERNADOR;1;77;0.012987012987012988
DS_OCUPACAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;ODONTÓLOGO;1;77;0.012987012987012988
