SQ_CANDIDATO;valor_ativos_financeiros;valor_bens_luxo_colecao;valor_creditos_direitos;valor_dinheiro_especie;valor_direitos_intangiveis;valor_imoveis;valor_outros;valor_outros_atividade_profissional;valor_participacoes_societarias;valor_rural_agropecuario;valor_veiculos;perc_ativos_financeiros;perc_bens_luxo_colecao;perc_creditos_direitos;perc_dinheiro_especie;perc_direitos_intangiveis;perc_imoveis;perc_outros;perc_outros_atividade_profissional;perc_participacoes_societarias;perc_rural_agropecuario;perc_veiculos;qtd_bens;qtd_macros_presentes;indice_concentracao_macro;patrimonio_total
10001606200;0.0;0.0;0.0;0.0;0.0;700000.0;0.0;0.0;0.0;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.9929078014184397;0.0;0.0;0.0;0.0;0.0070921985815602835;4;2;0.98591620139832;705000.0
10001606202;0.0;0.0;0.0;0.0;0.0;300000.0;0.0;0.0;0.0;0.0;159500.0;0.0;0.0;0.0;0.0;0.0;0.6528835690968444;0.0;0.0;0.0;0.0;0.3471164309031556;4;2;0.5467467713995792;459500.0
10001606205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2;1;1.0;35000.0
10001606209;0.0;0.0;0.0;0.0;0.0;180000.0;0.0;0.0;0.0;0.0;28000.0;0.0;0.0;0.0;0.0;0.0;0.8653846153846154;0.0;0.0;0.0;0.0;0.1346153846153846;3;2;0.7670118343195267;208000.0
10001606211;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;10000.0
10001606212;0.0;0.0;0.0;0.0;0.0;200000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;200000.0
10001606216;0.0;0.0;0.0;0.0;0.0;70000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;70000.0
10001606217;0.0;0.0;0.0;0.0;0.0;120000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;120000.0
10001606219;0.0;0.0;0.0;0.0;0.0;435000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3;1;1.0;435000.0
10001606220;0.0;0.0;0.0;0.0;0.0;80000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;80000.0
10001606307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2;1;1.0;12500.0
10001606495;0.0;0.0;0.0;0.0;0.0;30000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;30000.0
10001606499;0.0;0.0;0.0;0.0;0.0;130000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;130000.0
10001606500;0.0;0.0;0.0;0.0;0.0;150000.0;0.0;0.0;0.0;0.0;16000.0;0.0;0.0;0.0;0.0;0.0;0.9036144578313253;0.0;0.0;0.0;0.0;0.0963855421686747;3;2;0.8258092611409493;166000.0
10001606502;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300000.0;0.0;14000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9554140127388535;0.0;0.044585987261146494;3;2;0.9148038459978092;314000.0
10001606506;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;7000.0
10001606511;0.0;0.0;0.0;0.0;0.0;80000.0;0.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9411764705882353;0.0;0.058823529411764705;0.0;0.0;0.0;2;2;0.8892733564013842;85000.0
10001606585;0.0;0.0;70000.0;0.0;0.0;92000.0;24000.0;0.0;10000.0;0.0;29000.0;0.0;0.0;0.3111111111111111;0.0;0.0;0.4088888888888889;0.10666666666666667;0.0;0.044444444444444446;0.0;0.1288888888888889;7;5;0.29394567901234564;225000.0
10001612476;415232.94;0.0;416844.57999999996;0.0;0.0;58811.7;63607.06;0.0;1651055.88;0.0;2555831.2800000003;0.0804499306875755;0.0;0.08076218030412403;0.0;0.0;0.011394561300022305;0.012323645537949025;0.0;0.3198863055212189;0.0;0.4951833766491102;29;6;0.36081025435130565;5161383.44
10001612477;8248.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3188.61;0.721212476240271;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.27878752375972904;2;2;0.5978699192887049;11437.42
10001612484;0.0;0.0;0.0;0.0;0.0;6793850.08;0.0;0.0;0.0;1952500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7767640236051471;0.0;0.0;0.0;0.22323597639485293;0.0;8;2;0.6531966495242207;8746350.08
10001612485;0.0;0.0;0.0;0.0;0.0;2000000.0;0.0;0.0;0.0;160000.0;191000.0;0.0;0.0;0.0;0.0;0.0;0.8507018290089323;0.0;0.0;0.0;0.06805614632071459;0.08124202467035305;8;3;0.7349255075037073;2351000.0
10001612486;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;76000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2;1;1.0;76000.0
10001612487;35900.979999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54893.81;0.0;459990.0;0.06518150219798188;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09966471659466122;0.0;0.8351537812073568;7;3;0.7116635222276253;550784.79
10001612488;654787.16;0.0;0.0;123143.4;0.0;1328175.36;0.0;0.0;9700.0;0.0;0.0;0.3094741128241101;0.0;0.0;0.05820165206835228;0.0;0.6277396936293667;0.0;0.0;0.004584541478171117;0.0;0.0;16;4;0.49323979979021176;2115805.92
10001612489;0.0;0.0;0.0;0.0;0.0;120000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;120000.0
10001612491;0.0;0.0;0.0;0.0;0.0;2000000.0;0.0;0.0;0.0;0.0;240580.0;0.0;0.0;0.0;0.0;0.0;0.8926260164778763;0.0;0.0;0.0;0.0;0.10737398352212374;2;2;0.8083103776305712;2240580.0
10001613550;18810.35;0.0;0.0;0.0;0.0;152755.0;0.0;0.0;0.0;0.0;32192.0;0.09231740597333052;0.0;0.0;0.0;0.0;0.7496907473521813;0.0;0.0;0.0;0.0;0.15799184667448807;5;3;0.5955201437267319;203757.35
10001614193;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100000.0;35000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7407407407407407;0.25925925925925924;2;2;0.615912208504801;135000.0
10001614194;0.0;0.0;0.0;0.0;0.0;200000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;200000.0
10001614195;3303.12;0.0;0.0;0.0;0.0;360000.0;0.0;0.0;0.0;0.0;0.0;0.009091912010004208;0.0;0.0;0.0;0.0;0.9909080879899959;0.0;0.0;0.0;0.0;0.0;3;2;0.9819815017079869;363303.12
