SQ_CANDIDATO;valor_ativos_financeiros;valor_bens_luxo_colecao;valor_creditos_direitos;valor_dinheiro_especie;valor_direitos_intangiveis;valor_imoveis;valor_outros;valor_outros_atividade_profissional;valor_participacoes_societarias;valor_rural_agropecuario;valor_veiculos;perc_ativos_financeiros;perc_bens_luxo_colecao;perc_creditos_direitos;perc_dinheiro_especie;perc_direitos_intangiveis;perc_imoveis;perc_outros;perc_outros_atividade_profissional;perc_participacoes_societarias;perc_rural_agropecuario;perc_veiculos;qtd_bens;qtd_macros_presentes;indice_concentracao_macro;patrimonio_total;estrato;perfil_cluster
210001602879;83689.89;0.0;0.0;0.0;0.0;580000.0;0.0;0.0;0.0;0.0;142900.0;0.1037576729358707;0.0;0.0;0.0;0.0;0.719076704519567;0.0;0.0;0.0;0.0;0.1771656225445622;8;3;0.5592246194873901;806589.89;04_alto;Alto patrimônio - imobiliário + financeiro
210001602881;0.0;0.0;0.0;0.0;0.0;200000.0;0.0;0.0;0.0;75000.0;88000.0;0.0;0.0;0.0;0.0;0.0;0.5509641873278237;0.0;0.0;0.0;0.2066115702479339;0.2424242424242424;5;3;0.405019389993094;363000.0;03_medio_alto;Patrimônio médio-alto - rural/agropecuário + imobiliário
210001602885;3000.0;0.0;0.0;0.0;0.0;370000.0;0.0;0.0;0.0;0.0;424.61;0.0080337501055433;0.0;0.0;0.0;0.0;0.990829179683685;0.0;0.0;0.0;0.0;0.0011370702107715;4;3;0.9818082973820668;373424.61;03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro
210001602888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;40000.0;01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie
210001602889;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;65537.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;65537.0;01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie
210001602891;0.0;0.0;0.0;0.0;0.0;270000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;270000.0;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie
210001602893;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80000.0;0.0018714909544603;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9981285090455396;3;2;0.9962640230478644;80150.0;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário
210001602894;0.0;0.0;0.0;0.0;0.0;1300000.0;0.0;0.0;0.0;800000.0;62000.0;0.0;0.0;0.0;0.0;0.0;0.6012950971322849;0.0;0.0;0.0;0.3700277520814061;0.0286771507863089;3;3;0.4992987101229632;2162000.0;04_alto;Alto patrimônio - imobiliário + rural/agropecuário
210001602895;0.0;0.0;0.0;0.0;0.0;327104.88;0.0;0.0;200453.63;0.0;141573.35;0.0;0.0;0.0;0.0;0.0;0.4888496566282168;0.0;0.0;0.2995726881096351;0.0;0.2115776552621482;7;3;0.3734828864529866;669131.86;03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e societário
210001602896;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;1.0;01_baixo;Baixo patrimônio - outros ativos diversificado
210001602899;0.0;0.0;0.0;0.0;0.0;100000.0;0.0;0.0;0.0;0.0;27000.0;0.0;0.0;0.0;0.0;0.0;0.7874015748031497;0.0;0.0;0.0;0.0;0.2125984251968504;3;2;0.6651993303986609;127000.0;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário
210001602900;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9566.74;0.0;48000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1661851965214636;0.0;0.8338148034785364;3;2;0.7228646460428279;57566.74;01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie
210001602901;336658.99999999994;0.0;191541.91;0.0;0.0;857787.5;0.0;0.0;3186.82;0.0;0.0;0.2423445168972671;0.0;0.1378817487265447;0.0;0.0;0.617479696927795;0.0;0.0;0.002294037448393;0.0;0.0;15;4;0.459028680227916;1389175.23;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos
210001602903;40768.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;183852.01;0.0;57000.0;0.1447636554467057;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6528362415209892;0.0;0.202400103032305;6;3;0.4881174758890315;281620.41000000003;02_medio_baixo;Patrimônio médio-baixo - societário + veicular
210001602904;141200.82;0.0;0.0;0.0;0.0;373600.0;0.0;0.0;86800.29000000001;180000.0;308445.0;0.1295365569443663;0.0;0.0;0.0;0.0;0.3427377948259455;0.0;0.0;0.0796299250129886;0.165130629198796;0.2829650940179035;16;5;0.2479272096768784;1090046.11;04_alto;Alto patrimônio - imobiliário diversificado com rural/agropecuário e societário
210001602905;0.0;0.0;0.0;0.0;0.0;210000.0;0.0;0.0;0.0;0.0;141308.64;0.0;0.0;0.0;0.0;0.0;0.5977649738418047;0.0;0.0;0.0;0.0;0.4022350261581953;3;2;0.5191159802205775;351308.64;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie
210001602906;0.0;0.0;0.0;0.0;0.0;500000.0;0.0;0.0;0.0;0.0;62408.0;0.0;0.0;0.0;0.0;0.0;0.8890342953869789;0.0;0.0;0.0;0.0;0.1109657046130211;3;2;0.8026953659744862;562408.0;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie
